ID,Label,Content
neg_3051,0,这酒店很臭，我订的经济单间，房间小的可怜。房间除了床就没有其它空间了，挂衣柜占据了大部分的空间（我认为没有必要做那么柜子）。在那么个破地方，价钱就像是宰人
neg_354,0,"服务差,书的质量差,建议大家不要买,当当的书都很旧,最重要的是服务差,电话台的一个比一个会骗人,推卸责任"
neg_1596,0,我一般都不愿意写点评的，但这真的是我入住过的五星级酒店中，也是万丽品牌酒店中最糟糕的。房间当然牵强人意，同行的同事问我这个酒店是不是非常老了，卫浴设备也都是非常陈旧的。天津的配备跟我在苏州住过的万丽酒店简直是无法相提并论的。另外，我订的还是行政房，结果办手续的速度可以让我吃一顿早饭了，真的是非常痛苦，我们一行四人，最起码一个人办手续花了15分钟时间。还有早餐简直让我怀疑这是五星级酒店的早餐，也没有鲜榨橙汁，水果也很糟糕，时蔬更加难吃只有一个冬瓜，我一共就喝了一杯豆浆和一碗粥。
neg_3401,0,"这家酒店我一共住了3次,在这里不得不说说他的不好,因为位置离我要去的地方近,所以选择了这家酒店,但是,第一次住房间卫生太差,抱枕很脏,白床单上有一条很粗的毛发,我只好叫服务员重新打扫一遍.第二次住,房间的热水基本不能使用,水温温的,打到身上有点冷,而且第二次住早上起来发现的桌子上的面包被谁动过,想着不会有老鼠吧，于是将而包丢掉了．第三次住，房间跑出一只大老鼠，吓死我了．叫服务员来看，一直来不了，后面告诉我房间有个鼠洞，今天又开了（意思是以前这间房也经常有老鼠的），导致我几天没心情，想想之有在这家酒店还住了三次，环境可想而知有多差，有多少细菌．建议所有的人都不要去了．"
neg_704,0,内容空洞，讲得道理都是平常人都知道的。不值得买，没事可以到书店翻翻，不必浪费这个钱。
neg_3952,0,这个酒店的前身听别人说是乐山驻成都的招待所，现在改成酒店了，房间里面的设施不好，我定的是单人间，居然要穿过他们的前台在后面的一栋单独的楼上去，经过的时候看见那个院子里还有一些别的什么公司，而且还没有电梯，要自己上楼梯；早餐9点就结束了，临走的时候要求打印水单，前台人员说是打印机坏了，没有办法打印；单位要求拿水单和发票报销，郁闷；服务人员也是好像忙得不行的样子，根本就谈不上什么服务质量的高低了，他们的房卡也坏了，房间还是服务员帮着开的门。一句话，别住在这里自寻烦恼了。
neg_2640,0,服务不则么样，太旧，旋转餐厅不转的，早餐的服务员好像我欠了他们钱一样，很差
neg_2210,0,态度超级不好，我订的普通标准房，结果去了说没有了，说免费升级豪华双标，我一定要有网线的，结果第二天告诉我不能用网，而且房间在附楼，超级远，我东西超级沉，一个姑娘就这样抗着都没有人管。第二天说给换房间，结果打扫人员愣是听不懂前台的普通话，让我扛着行李来回的走，不知道在干什么！！！！结果换了2次，换成了标准房，我怕标准没有豪华好，结果一进去发现不仅在主楼，而且比前一天的豪华好多了！！！！！！至少窗户很大，网线也能用！对于第一天的入住超级不满意，感觉被骗了！！！
neg_3817,0,"地理位置不错,离溧阳汽车站确实很近.但是该酒店新开业没多久,还是有装修味的,最郁闷是另外两件事,根本不能刷pos机,别说信用卡了,什么卡都没有,网页上说能接受信用卡简直就是骗人的,很没信誉,不知道谁会带那么多的现金去住宾馆???另外餐厅和酒店是分开的,在餐厅吃饭不能签单的."
neg_2705,0,非常非常一般的酒店，无法跟如家或者莫泰比，居然还称之为是环保经济型酒店，汗啊。第一次见到房间里有燃气热水器，还是“前锋”的，是那种开了之后发出哄哄声响的！！！床也不舒服，垫被会移动，毛毯。。。古老的毛毯啊，已经十年没见过乐。唯一称赞的是地理位置，附近吃的喝的倒是有很多。
neg_1980,0,房间装修比较旧，周边也没有休闲购物的地方，性价比不高。虽然说免费提供上网，但实际上网上不了，最后还要住电脑房才能上网，不适合商务出差。还要投诉一点，浴室的用具，包括沐浴露和洗发水，有些是满的，有些只有半瓶，有可能是上回用剩的，请各位入住时注意。
neg_2355,0,1.酒店黑白色调，感觉阴森森。。建议喜欢该类影片的朋友居住 2。床好像榻榻米，矮的一塌糊涂，建议日本的朋友居住 3。洗澡的房间居然玻璃是透明的，建议有喜欢裸露的朋友居住 4。房间的马桶居然是坏的，每冲一下都要打开陶瓷盖子修理一下，建议喜欢DIY的朋友居住。  补充点评 2008年3月12日 ： 电视节目不更不用说了，所谓的5star标准，汗颜。。。没有地方吃饭，要走出去20分钟到九洲路，楼下的餐厅只适合狂载人家请客。。
neg_211,0,"我购买了31岁小美女的养颜经这本书,阅读时发现书的后半部分大概有几十页有用笔勾画的痕迹,让人看着很不舒服,怎么解决呢?"
neg_1129,0,最滥的酒店  什么都不行。  这种酒店千万别去。  80年代的3星
neg_3114,0,"前台服务很不规范.我订了4间房,每间房价338,前台入住时每间房押金却要收我800,经过我据理力争,降为500.退房时,又说其中一间房床单上有污点要我赔,经过交涉,又说算了.每次他们都说有规定,但我希望他们能出示规定给我看,有没有规定能拿出来,一人一"
neg_1083,0,9月23日的值班经理（女的）很牛啊！我当天由于航班原因早晨3点57分到的酒店，我订的是8点岛（携程最早的到达时间）在服务员的允许下进入酒店房间，当时并未提出要加收费用，收了我500押金。中午值班经理（女的）却突然打电话到我房间，说我必须再交一天的费用，我据理力争，对她说你们的服务员应该有告知义务，如果你事先说好，我同意，你收多少多不算多！她竟然说和你讲不清楚，挂了我电话。后又让当天的服务员打电话到我房间，后在我的质问下他也承认了是他的错误，并愿承担我的损失。我当即和值班经理联系，但她竟然说，这是我处理的和他没关系，你一定要付。我当即提出退房（当时9点），她竟然说你现在退我也要收你一天半的房钱。并说这是酒店规定，我说你拿出来给我看，她竟然回答我这是保密的。我下楼退了房间，我要她的名字，并告知她，我要投诉你的，她竟然说我没有必要告诉你我的名字，我是经理！牛啊。这样的服务态度竟然还是管理人员，可想而知她管理的人员将以什么样的态度去为客户服务！  补充点评 2006年10月4日 ： 这个酒店真得没办法用语言来形容了。还是希望各位管好自己的钱包，免得被收了钱还不知道怎么回事！各位最好的办法就是不要去住，否则你就不知道到底为了什么付的钱！请多多转告！
neg_641,0,送到了几天后才发现，书的后半部分印刷严重错误，居然有四十多页是倒置的，我在当当是VIP了，第一次发现这种情况，而且倒置的部分还缺页，这么严重的印刷错误，当当入库的时候如何验货的？出库的时候又是如何验货的？申请退货这么多天了，也没反应。要是这周再不退，继续投诉。气晕了。还有，这本书内容太空了，只是表面的交流。狂不喜欢。
neg_1579,0,"这是我住过的一家全国最差的四星级酒店.进房给你第一的感慨是灯光灰暗,我想看报只能去卫生间看,因卫生间照明亮度才能达到.我是晚上9点多进酒店,11点多想洗澡,却开不出热水,打电话给总台才知是市里供热管道出了问题,要我耐心等待.直到半夜1点多还是没供上,我又找了酒店值班柳经理,本人一天长途从上海开车12个小时到威海,就是能洗个澡好好休息"
neg_3544,0,"又上当了,以后大家一定要记住""金元凯悦""这酒店千万别住,上次在海宁已经上当一次了,这个更恶心,在海宁是不肯夏天不开空调,这次是冬天不肯开暖气,要多床被子也没有!!!酒店连停车的地方都没(只能停马路边),环境和卫生条件极其差,设施更别提了,从一进房间就一直叫客房修东西,电灯坏了几个;电视坏,插座坏,遥控器坏......就连上网也不行,说是机房人员没上班,不能上网,我晕- -,这样烂的酒店性价比连招待所都不如,携程如何搞这样的酒店还第一个推荐给我,真不理解,难道是佣金比别的就店高就..."
neg_991,0,"没有大家说得那么好啦.感觉有点太牵强.也不是很容易帮助记忆.我都是学英文得了,也觉得难,更不用说没有学英文得读者了,我想."
neg_2586,0,在预定时间到前台进行登记时，服务人员告诉我们：XC没有进行预定，后来通过多次电话......，另外，预定价格和门市价格只有4元价差......
